Time, Radius, MaxSpeed, ActualSpeed
112.5486,39.38144,33.81434,33.81434,
113.1152,40.34044,33.81434,33.81434,
113.6906,40.74616,33.81434,33.81434,
114.2729,40.62196,33.81434,33.81434,
114.8603,40.00671,33.81434,33.81434,
115.4509,38.95079,33.81434,33.81434,
116.0429,37.51228,33.81434,33.81434,
116.6344,35.7536,33.81434,33.81434,
117.2235,33.73858,33.81434,33.81434,
117.8086,31.53015,33.00932,33.00932,
118.3879,29.1886,31.67386,31.67386,
118.9596,26.77025,30.22622,30.22622,
119.5222,24.32647,28.69279,28.60126,
120.074,21.90323,27.10219,26.37338,
120.6136,19.5407,25.48427,24.06539,
121.1395,17.27313,23.86902,21.68578,
121.6505,15.12892,22.28545,19.24412,
122.1065,8.39421,16.95646,16.95646,
122.5746,9.863085,18.16469,18.16469,
123.0541,11.61313,19.57073,19.57073,
123.5443,13.69576,21.19656,21.19656,
124.0442,16.18369,23.07126,23.07126,
124.5525,19.18428,25.23442,25.23442,
125.0681,22.8633,27.74072,27.37691,
125.5893,27.49073,30.66477,29.42679,
126.1147,33.53562,33.81434,31.38112,
126.6427,41.88553,33.81434,33.2375,
127.1715,54.43564,33.81434,33.81434,
127.6994,76.05566,33.81434,33.81434,
128.2246,124.1047,33.81434,33.81434,
128.7455,339.2564,33.81434,33.81434,
129.2602,427.0234,33.81434,33.81434,
129.767,125.174,33.81434,33.81434,
130.2641,70.40827,33.81434,33.81434,
130.7497,47.08137,33.81434,32.82849,
131.2223,33.98602,33.81434,31.15582,
131.6801,25.52557,29.45407,29.45407,
132.1374,Infinity,33.81434,31.15355,
132.6081,Infinity,33.81434,32.82006,
133.0909,Infinity,33.81434,33.81434,
133.5841,Infinity,33.81434,33.81434,
134.0864,Infinity,33.81434,33.81434,
134.5961,Infinity,33.81434,33.81434,
135.1119,Infinity,33.81434,33.81434,
135.6321,Infinity,33.81434,33.81434,
136.1554,Infinity,33.81434,33.81434,
136.6801,Infinity,33.81434,33.81434,
137.2049,Infinity,33.81434,33.81434,
137.7281,Infinity,33.81434,33.81434,
138.2484,Infinity,33.81434,33.81434,
138.7641,Infinity,33.81434,33.81434,
139.2739,Infinity,33.81434,33.81434,
139.7761,Infinity,33.81434,33.81434,
140.2694,Infinity,33.81434,33.81434,
140.7521,Infinity,33.81434,33.81434,
141.2229,Infinity,33.81434,33.81434,
141.6801,Infinity,33.81434,33.81434,
142.1374,Infinity,33.81434,33.81434,
142.6081,Infinity,33.81434,33.81434,
143.0909,Infinity,33.81434,33.81434,
143.5841,Infinity,33.81434,33.81434,
144.0864,Infinity,33.81434,33.81434,
144.5961,Infinity,33.81434,33.81434,
145.1119,Infinity,33.81434,33.81434,
145.6321,Infinity,33.81434,33.81434,
146.1554,Infinity,33.81434,33.81434,
146.6801,Infinity,33.81434,33.81434,
147.2049,Infinity,33.81434,33.81434,
147.7281,Infinity,33.81434,33.81434,
148.2484,Infinity,33.81434,33.81434,
148.7641,Infinity,33.81434,33.81434,
149.2739,Infinity,33.81434,33.81434,
149.7761,Infinity,33.81434,33.81434,
150.2694,Infinity,33.81434,33.81434,
150.7521,Infinity,33.81434,33.81434,
151.2229,Infinity,33.81434,33.81434,
151.6801,Infinity,33.81434,33.81434,
152.1374,Infinity,33.81434,33.81434,
152.6081,Infinity,33.81434,33.81434,
153.0909,Infinity,33.81434,33.81434,
153.5841,Infinity,33.81434,33.81434,
154.0864,Infinity,33.81434,33.81434,
154.5961,Infinity,33.81434,33.81434,
155.1119,Infinity,33.81434,33.81434,
155.6321,Infinity,33.81434,33.81434,
156.1554,Infinity,33.81434,33.81434,
156.6801,Infinity,33.81434,33.81434,
157.2049,Infinity,33.81434,33.81434,
157.7281,Infinity,33.81434,33.81434,
158.2484,Infinity,33.81434,33.81434,
158.7641,Infinity,33.81434,33.81434,
159.2739,Infinity,33.81434,33.81434,
159.7761,Infinity,33.81434,33.81434,
160.2694,Infinity,33.81434,33.81434,
160.7521,Infinity,33.81434,33.81434,
161.2229,Infinity,33.81434,33.81434,
161.6801,Infinity,33.81434,33.81434,
162.1374,Infinity,33.81434,33.81434,
162.6081,Infinity,33.81434,33.81434,
163.0909,Infinity,33.81434,33.81434,
163.5841,Infinity,33.81434,33.81434,
164.0864,Infinity,33.81434,33.81434,
164.5961,Infinity,33.81434,33.81434,
165.1119,Infinity,33.81434,33.81434,
165.6321,Infinity,33.81434,33.81434,
166.1554,Infinity,33.81434,33.81434,
166.6801,Infinity,33.81434,33.81434,
167.2049,Infinity,33.81434,33.81434,
167.7281,Infinity,33.81434,33.81434,
168.2484,Infinity,33.81434,33.81434,
168.7641,Infinity,33.81434,33.81434,
169.2739,Infinity,33.81434,33.81434,
169.7761,Infinity,33.81434,33.81434,
170.2694,Infinity,33.81434,33.81434,
170.7521,Infinity,33.81434,33.81434,
171.2229,Infinity,33.81434,33.81434,
171.6801,Infinity,33.81434,33.81434,
172.1374,Infinity,33.81434,33.81434,
172.6081,Infinity,33.81434,33.81434,
173.0909,Infinity,33.81434,33.81434,
173.5841,Infinity,33.81434,33.81434,
174.0863,Infinity,33.81434,33.81434,
174.5961,Infinity,33.81434,33.81434,
175.1118,Infinity,33.81434,33.81434,
175.6321,Infinity,33.81434,33.81434,
176.1553,Infinity,33.81434,33.81434,
176.6801,Infinity,33.81434,33.81434,
177.2048,Infinity,33.81434,33.81434,
177.7281,Infinity,33.81434,33.81434,
178.2483,Infinity,33.81434,33.81434,
178.7641,Infinity,33.81434,33.81434,
179.2738,Infinity,33.81434,33.81434,
179.7761,Infinity,33.81434,33.81434,
180.2693,Infinity,33.81434,33.81434,
180.7521,Infinity,33.81434,33.81434,
181.2228,Infinity,33.81434,33.81434,
181.6801,Infinity,33.81434,33.81434,
182.1373,Infinity,33.81434,33.81434,
182.6081,Infinity,33.81434,33.81434,
183.0908,Infinity,33.81434,33.81434,
183.5841,Infinity,33.81434,33.81434,
184.0863,Infinity,33.81434,33.81434,
184.5961,Infinity,33.81434,33.81434,
185.1118,Infinity,33.81434,33.81434,
185.6321,Infinity,33.81434,33.81434,
186.1553,Infinity,33.81434,33.81434,
186.6801,Infinity,33.81434,33.81434,
187.2048,Infinity,33.81434,33.81434,
187.7281,Infinity,33.81434,33.81434,
188.2483,Infinity,33.81434,33.81434,
188.7641,Infinity,33.81434,33.44747,
189.2738,Infinity,33.81434,31.67034,
189.7761,Infinity,33.81434,29.82288,
190.2693,Infinity,33.81434,27.91036,
190.7521,Infinity,33.81434,25.93968,
191.2228,Infinity,33.81434,23.91896,
191.6801,Infinity,33.81434,21.85827,
192.139,11.75901,19.68629,19.68629,
192.6149,15.54584,22.59764,21.93829,
193.1058,20.96348,26.46656,24.14665,
193.6098,29.34731,31.76644,26.29822,
194.1248,44.23755,33.81434,28.38133,
194.6486,79.06065,33.81434,30.38645,
195.1788,270.3919,33.81434,32.30583,
195.7133,214.7826,33.81434,33.81434,
196.2497,78.35301,33.81434,33.64253,
196.7858,47.76641,33.81434,31.77951,
197.3195,33.93145,33.81434,29.81574,
197.8489,25.85983,29.66324,27.75475,
198.372,20.47295,26.13062,25.601,
198.8871,16.5754,23.35972,23.35972,
199.393,13.609,21.12986,21.12986,
199.8885,11.27971,19.30566,19.30566,
200.373,9.418593,17.80177,17.80177,
200.8465,7.921706,16.56235,16.56235,
201.3095,6.721418,15.54929,15.54929,
201.7633,5.771555,14.93216,14.93216,
202.0872,5.597138,14.93216,14.93216,
202.4223,6.458461,15.32506,15.32506,
202.7676,7.351869,16.08353,16.08353,
203.1221,8.249673,16.83619,16.83619,
203.4846,9.120911,17.55741,17.55741,
203.8538,9.932821,18.22141,18.22141,
204.2286,10.65263,18.80353,18.80353,
204.6075,11.24956,19.28162,19.28162,
204.9892,11.69695,19.63716,19.63716,
205.3723,11.97414,19.85625,19.85625,
205.7554,12.06802,19.93024,19.93024,
206.1371,11.97412,19.85624,19.85624,
206.516,11.69693,19.63714,19.63714,
206.8907,11.24952,19.28159,19.28159,
207.26,10.65257,18.80349,18.80349,
207.6225,9.932756,18.22136,18.22136,
207.9769,9.120838,17.55735,17.55735,
208.3222,8.249593,16.83612,16.83612,
208.6573,7.351789,16.08347,16.08347,
208.9813,6.458381,15.32499,15.32499,
209.4351,5.039597,14.93216,14.93216,
209.898,5.771582,14.93216,14.93216,
210.3715,6.721454,15.54932,15.54932,
210.8561,7.921759,16.5624,16.5624,
211.3516,9.418652,17.80182,17.80182,
211.8574,11.27979,19.30572,19.30572,
212.3726,13.60909,21.12993,21.12993,
212.8957,16.57551,23.3598,23.3598,
213.425,20.4731,26.13072,25.66282,
213.9588,25.86001,29.66335,27.85704,
214.4949,33.93167,33.81434,29.93884,
215.0313,47.76673,33.81434,31.9055,
215.5658,78.35355,33.81434,33.75569,
216.096,214.7837,33.81434,33.81434,
216.6198,270.3937,33.81434,32.38102,
217.1347,79.06114,33.81434,30.52431,
217.6387,44.23782,33.81434,28.60653,
218.1297,29.3475,31.76654,26.63811,
218.6055,20.96362,26.46666,24.63081,
219.0645,15.54594,22.59772,22.59772,
219.5217,Infinity,33.81434,24.62324,
219.9925,Infinity,33.81434,26.60948,
220.4752,Infinity,33.81434,28.54654,
220.9685,Infinity,33.81434,30.42636,
221.4707,Infinity,33.81434,32.24235,
221.9805,Infinity,33.81434,33.81434,
222.4962,Infinity,33.81434,33.81434,
223.0164,Infinity,33.81434,33.81434,
223.5397,Infinity,33.81434,33.81434,
224.0645,Infinity,33.81434,33.81434,
224.5892,Infinity,33.81434,33.81434,
225.1125,Infinity,33.81434,33.81434,
225.6327,Infinity,33.81434,33.81434,
226.1485,Infinity,33.81434,33.81434,
226.6582,Infinity,33.81434,33.81434,
227.1604,Infinity,33.81434,33.81434,
227.6537,Infinity,33.81434,33.81434,
228.1365,Infinity,33.81434,33.81434,
228.6072,Infinity,33.81434,33.81434,
229.0645,Infinity,33.81434,33.81434,
229.5217,Infinity,33.81434,33.81434,
229.9924,Infinity,33.81434,33.81434,
230.4752,Infinity,33.81434,33.81434,
230.9684,Infinity,33.81434,33.81434,
