accelerationProfile
Time,Value,Skidding
16.08,100.652,False
16.1,100.7457,False
16.12,100.8393,False
16.14,100.9327,False
16.16,101.0259,False
16.18,101.1189,False
16.2,101.2117,False
16.22,101.3043,False
16.24,101.3967,False
16.26,101.4889,False
16.28,101.5809,False
16.3,101.6728,False
16.32,101.7644,False
16.34,101.8559,False
16.36,101.9471,False
16.38,102.0382,False
16.4,102.1291,False
16.42,102.2198,False
16.44,102.3103,False
16.46,102.4006,False
16.48,102.4907,False
16.5,102.5807,False
16.52,102.6704,False
16.54,102.76,False
16.56,102.8494,False
16.58,102.9386,False
16.6,103.0276,False
16.62,103.1164,False
16.64,103.205,False
16.66,103.2935,False
16.68,103.3818,False
16.7,103.4699,False
16.72,103.5578,False
16.74,103.6455,False
16.76,103.733,False
16.78,103.8204,False
16.8,103.9076,False
16.82,103.9946,False
16.84,104.0813,False
16.86,104.168,False
16.88,104.2544,False
16.9,104.3407,False
16.92,104.4268,False
16.94,104.5127,False
16.96,104.5984,False
16.98,104.684,False
17,104.7694,False
17.02,104.8546,False
17.04,104.9396,False
17.06,105.0245,False
17.08,105.1092,False
17.1,105.1936,False
17.12,105.278,False
17.14,105.3621,False
17.16,105.4461,False
17.18,105.5299,False
17.2,105.6135,False
17.22,105.6969,False
17.24,105.7802,False
17.26,105.8633,False
17.28,105.9462,False
17.3,106.029,False
17.32,106.1115,False
17.34,106.194,False
17.36,106.2762,False
17.38,106.3583,False
17.4,106.4401,False
17.42,106.5219,False
17.44,106.6034,False
17.46,106.6848,False
17.48,106.7661,False
17.5,106.8471,False
17.52,106.928,False
17.54,107.0087,False
17.56,107.0893,False
17.58,107.1696,False
17.6,107.2498,False
17.62,107.3299,False
17.64,107.4097,False
17.66,107.4895,False
17.68,107.569,False
17.7,107.6484,False
17.72,107.7276,False
17.74,107.8066,False
17.76,107.8855,False
17.78,107.9642,False
17.8,108.0428,False
17.82,108.1212,False
17.84,108.1994,False
17.86,108.2775,False
17.88,108.3554,False
17.9,108.4331,False
17.92,108.5107,False
17.94,108.5881,False
17.96,108.6654,False
17.98,108.7425,False
18,108.8194,False
18.02,108.8962,False
18.04,108.9728,False
18.06,109.0492,False
18.08,109.1255,False
18.1,109.2017,False
18.12,109.2777,False
18.14,109.3535,False
18.16,109.4291,False
18.18,109.5047,False
18.2,109.58,False
18.22,109.6552,False
